Repository,Commit,Comment,Category,Verdict
n8n,dc93694a1ad8642fae1d3bea390e586da6b3262a,Changes made in the same code region.,changes-in-same-region,diff3-afp
storybook,d818559db056fda8b8d7b9d1fd10ce03271d7273,Changes made in the same code region.,changes-in-same-region,diff3-afp
storybook,8b058bb0bb1cfa7686935faab9a9d0855637ac04,Changes made in the same code region.,changes-in-same-region,diff3-afp
storybook,e14b2ab780b8a18ea1c23ae0190d571ebe47692e,Changes made in the same code region.,changes-in-same-region,diff3-afp
storybook,972c55d9e4680ff1847f2b1bc3fb323515087392,Changes made in the same code region.,changes-in-same-region,diff3-afp
storybook,d637255b1738a564c27ddfbc2ce6e8aa89ca6933,Changes made in the same code region.,changes-in-same-region,diff3-afp
storybook,573a528d72739b2d6b8ebfe17eef605b0577f563,Changes made in the same code region.,changes-in-same-region,diff3-afp
typescript,ac5f4f82fa241d3338a141e3633af43e90059288,Changes made in the same code region.,changes-in-same-region,diff3-afp
vscode,b592b5811b67661194612fb25fb8a6e62acabc26,Changes made in the same code region.,changes-in-same-region,diff3-afp
vscode,296b20afbacdaa2fea924f1a333330ff07db2cc4,Changes made in the same code region.,changes-in-same-region,diff3-afp
vscode,3c33f50f398008db1e32be57627f3d3169173810,Changes made in the same code region.,changes-in-same-region,diff3-afp
vscode,1e44ae5da86b24bc6f74ac135a5c4fa7bc16a626,Changes made in the same code region.,changes-in-same-region,diff3-afp
vscode,bc72e7ab7e315a346c31cfa0cb77619375f94d6f,Changes made in the same code region.,changes-in-same-region,diff3-afp
vscode,6e3e72705a8be6d4ed3358e94656b9136edc3081,Changes made in the same code region.,changes-in-same-region,diff3-afp
vscode,755cbf5412a2566d78914e2256f6c2cce38a1d86,Changes made in the same code region.,changes-in-same-region,diff3-afp
vscode,b3292e6fff7060f5b3170dbe01ab0aa2bb0d6c06,Changes made in the same code region.,changes-in-same-region,diff3-afp
vscode,9ef2514d70100140403396b816b8be2a66136b57,Changes made in the same code region.,changes-in-same-region,diff3-afp
vscode,e8ad99de2b3f6ef082fabeb00c0e92b02477caab,Changes made in the same code region.,changes-in-same-region,diff3-afp
vscode,f66a700fcf1f4c5ee4afa47ff91de44e32df7699,Changes made in the same code region.,changes-in-same-region,diff3-afp
vscode,2c62cbf2cb8da309abb88e275f832ea7e8191dce,Changes made in the same code region.,changes-in-same-region,diff3-afp
vscode,635ee24a3c58db454bcf7ed39f7ae91739abca41,Changes made in the same code region.,changes-in-same-region,diff3-afp
vscode,939ae6b03e7dc745f04cfe6da8ae9f2dc1929d85,Changes made in the same code region.,changes-in-same-region,diff3-afp
vscode,02400c272b96cea961ce677dadbc54b04516c43d,Changes made in the same code region.,changes-in-same-region,diff3-afp
vscode,bf0bb282b1fd2f29c479ae539f4d8b60077d382e,Changes made in the same code region.,changes-in-same-region,diff3-afp
vscode,1eab404f54c6d56654be839495fd183d4c40ea80,Changes made in the same code region.,changes-in-same-region,diff3-afp
vscode,5f33302de62bd0b203b4bacc90efef0c2d693762,Changes made in the same code region.,changes-in-same-region,diff3-afp
vscode,b01d28d688fab6f380813b73cc7fe18442369c7f,Changes made in the same code region.,changes-in-same-region,diff3-afp